Graphtreon,Name,Category,Patrons,Earnings,Range,"Is Nsfw","Facebook Likes","Twitter Followers","Youtube Subscribers","Youtube Videos","Youtube Views"
https://graphtreon.com/creator/MrDeity,"Brian Keith Dalton",Video,195,1012.41,"writing, directing, shooting, acting, editing, composing, etc...",0,,,,,
https://graphtreon.com/creator/shmorky,"Shmorky Kay",Animation,197,904.81,month,0,,,,,
https://graphtreon.com/creator/johnnywander,"Johnny Wander",Comics,198,916,month,0,,,,,
https://graphtreon.com/creator/h3h3productions,"Ethan and Hila Klein",Video,196,811.57,"THIS PATREON IS NO LONGER ACTIVE, YOU WILL NOT BE CHARGED.",0,,,,,
https://graphtreon.com/creator/mr_amplified,Mr_Amplified,,197,1531.21,month,0,,,,,
https://graphtreon.com/creator/d20monkey,"Brian F'n Patterson",Comics,193,812,month,0,,,,,
https://graphtreon.com/creator/ElementAnimation,"Element Animation",Video,191,1374.85,Video,0,,,,,
https://graphtreon.com/creator/cubewatermelon,"Mary Cagle",Comics,191,920.95,month,0,,,,,
https://graphtreon.com/creator/completeguide,"Tom Reynolds & Tim Daniels",Podcasts,194,1771.5,month,0,,,,,
https://graphtreon.com/creator/evynnehollens,"Evynne Hollens",Music,190,1227,"music video",0,,,,,
https://graphtreon.com/creator/elizsimins,"Elizabeth Simins","Drawing & Painting",187,683.73,"art thing",0,,,,,
https://graphtreon.com/creator/mikebennett,"Mike Bennett",Podcasts,194,730.66,month,0,,,,,
https://graphtreon.com/creator/theawkwardyeti,"The Awkward Yeti",Comics,182,731.99,"No longer accepting pledges",0,,,,,
https://graphtreon.com/creator/SatW,"Scandinavia and the World",Comics,182,1050.6,month,0,,,,,
https://graphtreon.com/creator/meghantonjes,"Meghan Tonjes",Video,182,555,month,0,,,,,
https://graphtreon.com/creator/gmcalpin,"Gordon McAlpin",Comics,180,690.34,month,0,,,,,
https://graphtreon.com/creator/trudbol,"Julien Neel (Trudbol)",Music,180,685.11,video,0,,,,,
https://graphtreon.com/creator/RPPR,"Ross Payton",Podcasts,179,1237.79,month,0,,,,,
https://graphtreon.com/creator/spoilerwarning,"Spoiler Warning",Video,181,728,month,0,,,,,
https://graphtreon.com/creator/DanielleAtetheSandwich,"Danielle Ate the Sandwich",Video,179,974.85,month,0,,,,,
https://graphtreon.com/creator/gamespite,"Jeremy Parish",Video,177,1248.61,month,0,,,,,
https://graphtreon.com/creator/Lachri,"Lisa Clough - Lachri Fine Art","Drawing & Painting",178,1164,month,0,,,,,
https://graphtreon.com/creator/artofthetitle,"Art of the Title",Video,175,539,Article,0,,,,,
https://graphtreon.com/creator/whomp,"Ronnie Filyaw",Comics,175,1001,month,0,,,,,
https://graphtreon.com/creator/JasonBrubaker,"Jason Brubaker",Comics,174,670.8,month,0,,,,,
https://graphtreon.com/creator/Sherclop,"Sherclop Pones",Video,173,1334.5,video,0,,,,,
https://graphtreon.com/creator/phelous,Phelous,Video,173,601.34,Video,0,,,,,
https://graphtreon.com/creator/sfemonster,"Sfé R. Monster",Comics,169,710.44,month,0,,,,,
https://graphtreon.com/creator/ComicBookCast,"Comic Book Cast",Video,168,876.69,month,0,,,,,
https://graphtreon.com/creator/DawnSomewhere,"Dawn Somewhere",Music,167,424.72,Video,0,,,,,
https://graphtreon.com/creator/kirbykrackle,"Kirby Krackle",Music,166,815,Song,0,,,,,
https://graphtreon.com/creator/lazypillow,"Yotam Perel",Animation,166,577.55,month,0,,,,,
https://graphtreon.com/creator/twogag,"Rickard Jonasson",Comics,166,685.6,creation,0,,,,,
https://graphtreon.com/creator/FindChaos,FindChaos,Comics,161,419,Comic,0,,,,,
https://graphtreon.com/creator/WarRocketAjax,"Klytus Media",Podcasts,162,1093,month,0,,,,,
https://graphtreon.com/creator/wdwradio,"WDW Radio",Podcasts,162,3027,month,0,,,,,
https://graphtreon.com/creator/roundtable,"BaerTaffy, Northernlion, MathasGames and RockLeeSmile",Games,160,1588.06,month,0,,,,,
https://graphtreon.com/creator/Mikiko,Mikiko,Comics,156,943.51,month,0,,,,,
https://graphtreon.com/creator/craftsbytwo,"Crafts By Two",Video,164,574,month,0,,,,,
https://graphtreon.com/creator/Porpentine,Porpentine,Games,158,983.1,month,0,,,,,
https://graphtreon.com/creator/magnoliapearl,"Magnolia Porter",Comics,157,490.1,month,0,,,,,
https://graphtreon.com/creator/brentalfloss,"Brent Black",Music,157,1044.25,"Flagship Video (Approx. 2 per month)",0,,,,,
https://graphtreon.com/creator/XRobots,"James Bruton",Video,155,434.7,"YouTube video",0,,,,,
https://graphtreon.com/creator/natemaingard,"Nate Maingard",Video,155,1355,month,0,,,,,
